Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users/1,57,0,2000.0,2488.7072982428913,1048.7949999806006,7242.295999982161,8666.0,0.8755538325885871,0.0,2000,2500,3000,3400,4000,5000,6100,7200,7200,7200,7200
,Aggregated,57,0,2000.0,2488.7072982428913,1048.7949999806006,7242.295999982161,8666.0,0.8755538325885871,0.0,2000,2500,3000,3400,4000,5000,6100,7200,7200,7200,7200
